actual_delay,predicted_delay,absolute_error,relative_error
37.353344,26.969962,10.383382,0.277977
22.319072,0.000000,22.319072,1.000000
13.698399,0.000000,13.698399,1.000000
4.488974,0.000000,4.488974,1.000000
12.385168,0.000000,12.385168,1.000000
18.122988,0.000000,18.122988,1.000000
17.294473,0.000000,17.294473,1.000000
50.082019,26.733576,23.348444,0.466204
15.758988,0.000000,15.758988,1.000000
28.098548,26.817367,1.281181,0.045596
30.356748,0.000000,30.356748,1.000000
22.658441,0.000000,22.658441,1.000000
38.759497,26.780457,11.979040,0.309061
41.341160,0.000000,41.341160,1.000000
14.773758,26.826404,12.052646,0.815815
19.755355,26.910792,7.155437,0.362202
23.205217,0.000000,23.205217,1.000000
37.404321,26.799916,10.604405,0.283507
56.889936,26.779375,30.110561,0.529277
19.687803,26.839744,7.151941,0.363268
29.569206,0.000000,29.569206,1.000000
14.196546,0.000000,14.196546,1.000000
18.605537,0.000000,18.605537,1.000000
17.218534,0.000000,17.218534,1.000000
10.068141,0.000000,10.068141,1.000000
79.648841,26.812981,52.835860,0.663360
125.518613,26.721479,98.797134,0.787111
45.533894,27.009128,18.524766,0.406835
37.338638,0.000000,37.338638,1.000000
34.717193,0.000000,34.717193,1.000000
5.542034,0.000000,5.542034,1.000000
7.874515,0.000000,7.874515,1.000000
9.307759,0.000000,9.307759,1.000000
12.697804,0.000000,12.697804,1.000000
40.227399,0.000000,40.227399,1.000000
3.980691,0.000000,3.980691,1.000000
5.634708,0.000000,5.634708,1.000000
6.945142,0.000000,6.945142,1.000000
2.008204,0.000000,2.008204,1.000000
55.479817,0.000000,55.479817,1.000000
15.833606,26.939117,11.105511,0.701389
18.920493,0.000000,18.920493,1.000000
21.214332,0.000000,21.214332,1.000000
36.795459,0.000000,36.795459,1.000000
10.258578,0.000000,10.258578,1.000000
17.699737,27.006187,9.306450,0.525796
13.000420,0.000000,13.000420,1.000000
55.922987,26.878471,29.044515,0.519366
47.267824,26.810773,20.457051,0.432790
55.858714,0.000000,55.858714,1.000000
41.734947,0.000000,41.734947,1.000000
54.331479,0.000000,54.331479,1.000000
84.396646,27.258340,57.138307,0.677021
84.431257,27.387259,57.043998,0.675627
28.375799,0.000000,28.375799,1.000000
41.939215,0.000000,41.939215,1.000000
1.617246,27.927362,26.310116,16.268469
2.146915,0.000000,2.146915,1.000000
6.307166,0.000000,6.307166,1.000000
13.924366,0.000000,13.924366,1.000000
3.491360,0.000000,3.491360,1.000000
26.989974,0.000000,26.989974,1.000000
21.684570,27.479244,5.794674,0.267226
6.620912,0.000000,6.620912,1.000000
7.472377,27.450810,19.978433,2.673638
5.447424,0.000000,5.447424,1.000000
27.935132,27.267813,0.667319,0.023888
37.456489,27.170400,10.286089,0.274614
19.161537,27.173799,8.012262,0.418143
0.800940,0.000000,0.800940,1.000000
55.456482,0.000000,55.456482,1.000000
40.256036,27.068087,13.187949,0.327602
5.596634,0.000000,5.596634,1.000000
59.615855,27.248854,32.367001,0.542926
15.019240,0.000000,15.019240,1.000000
45.805779,0.000000,45.805779,1.000000
29.132111,0.000000,29.132111,1.000000
30.111546,27.321683,2.789863,0.092651
7.420265,0.000000,7.420265,1.000000
4.154673,0.000000,4.154673,1.000000
26.669025,0.000000,26.669025,1.000000
111.020926,27.160052,83.860874,0.755361
102.591048,27.157998,75.433050,0.735279
76.196471,27.507427,48.689045,0.638993
52.733091,27.818977,24.914114,0.472457
51.201855,0.000000,51.201855,1.000000
48.038940,28.120588,19.918351,0.414629
57.828539,0.000000,57.828539,1.000000
86.988958,28.296097,58.692861,0.674716
57.000371,28.416148,28.584223,0.501474
28.249328,0.000000,28.249328,1.000000
8.451015,0.000000,8.451015,1.000000
8.916480,28.765506,19.849026,2.226105
6.863949,0.000000,6.863949,1.000000
8.407978,28.605492,20.197514,2.402184
11.641087,0.000000,11.641087,1.000000
29.934034,0.000000,29.934034,1.000000
47.845000,0.000000,47.845000,1.000000
93.380288,28.379708,65.000580,0.696085
11.582462,0.000000,11.582462,1.000000
33.320576,0.000000,33.320576,1.000000
41.393430,0.000000,41.393430,1.000000
18.525158,28.660053,10.134896,0.547088
7.542441,0.000000,7.542441,1.000000
10.283941,0.000000,10.283941,1.000000
9.315320,0.000000,9.315320,1.000000
11.658387,0.000000,11.658387,1.000000
2.986008,0.000000,2.986008,1.000000
51.167391,0.000000,51.167391,1.000000
82.092819,28.288190,53.804629,0.655412
23.732638,28.373880,4.641241,0.195564
40.598261,28.574324,12.023937,0.296169
1.856057,0.000000,1.856057,1.000000
22.868268,0.000000,22.868268,1.000000
12.214872,0.000000,12.214872,1.000000
12.085294,0.000000,12.085294,1.000000
1.963002,0.000000,1.963002,1.000000
12.890887,0.000000,12.890887,1.000000
5.477018,28.266317,22.789299,4.160895
1.751621,0.000000,1.751621,1.000000
18.175161,0.000000,18.175161,1.000000
1.608358,0.000000,1.608358,1.000000
32.606422,0.000000,32.606422,1.000000
19.788839,27.904072,8.115234,0.410091
8.623201,27.920806,19.297606,2.237870
10.914251,0.000000,10.914251,1.000000
16.115027,0.000000,16.115027,1.000000
20.345891,0.000000,20.345891,1.000000
6.688650,0.000000,6.688650,1.000000
5.775766,0.000000,5.775766,1.000000
0.637755,0.000000,0.637755,1.000000
43.553017,0.000000,43.553017,1.000000
61.885677,27.455488,34.430189,0.556351
19.212011,0.000000,19.212011,1.000000
22.435746,27.629123,5.193377,0.231478
11.277866,0.000000,11.277866,1.000000
21.667828,0.000000,21.667828,1.000000
48.162911,27.527212,20.635699,0.428456
41.698271,0.000000,41.698271,1.000000
30.697704,27.577132,3.120572,0.101655
0.835115,0.000000,0.835115,1.000000
5.811804,0.000000,5.811804,1.000000
0.683060,0.000000,0.683060,1.000000
16.361555,0.000000,16.361555,1.000000
112.031746,27.383910,84.647836,0.755570
63.991525,27.347412,36.644113,0.572640
24.532757,0.000000,24.532757,1.000000
0.649294,0.000000,0.649294,1.000000
1.100015,0.000000,1.100015,1.000000
5.628468,0.000000,5.628468,1.000000
9.925842,0.000000,9.925842,1.000000
19.697094,0.000000,19.697094,1.000000
48.316909,0.000000,48.316909,1.000000
60.018804,27.407985,32.610819,0.543343
12.331584,0.000000,12.331584,1.000000
15.059875,0.000000,15.059875,1.000000
70.945543,27.530807,43.414736,0.611945
75.340479,27.491091,47.849388,0.635109
24.318051,27.629041,3.310990,0.136154
33.744573,27.780027,5.964546,0.176756
3.618198,0.000000,3.618198,1.000000
47.465819,0.000000,47.465819,1.000000
10.150102,0.000000,10.150102,1.000000
37.985684,0.000000,37.985684,1.000000
53.801043,27.718957,26.082086,0.484788
6.431137,0.000000,6.431137,1.000000
3.361571,0.000000,3.361571,1.000000
43.908135,0.000000,43.908135,1.000000
4.108313,0.000000,4.108313,1.000000
9.572918,0.000000,9.572918,1.000000
35.880443,0.000000,35.880443,1.000000
17.863551,0.000000,17.863551,1.000000
45.382201,0.000000,45.382201,1.000000
41.870783,27.608176,14.262608,0.340634
35.574500,0.000000,35.574500,1.000000
0.348829,0.000000,0.348829,1.000000
23.830233,0.000000,23.830233,1.000000
28.976912,27.646330,1.330582,0.045919
7.749079,0.000000,7.749079,1.000000
28.981350,0.000000,28.981350,1.000000
18.496537,27.579913,9.083376,0.491085
3.515716,0.000000,3.515716,1.000000
28.137127,0.000000,28.137127,1.000000
22.052498,0.000000,22.052498,1.000000
34.117680,0.000000,34.117680,1.000000
11.325680,27.472555,16.146875,1.425687
4.156695,0.000000,4.156695,1.000000
0.225274,0.000000,0.225274,1.000000
31.886265,0.000000,31.886265,1.000000
33.970539,0.000000,33.970539,1.000000
20.206634,27.312177,7.105543,0.351644
30.076732,0.000000,30.076732,1.000000
2.499461,0.000000,2.499461,1.000000
23.925573,0.000000,23.925573,1.000000
45.103319,0.000000,45.103319,1.000000
40.741286,27.238649,13.502637,0.331424
23.307784,0.000000,23.307784,1.000000
16.346302,0.000000,16.346302,1.000000
18.414641,27.315934,8.901294,0.483381
12.818210,0.000000,12.818210,1.000000
43.766107,27.260274,16.505833,0.377137
15.967926,0.000000,15.967926,1.000000
51.704036,0.000000,51.704036,1.000000
7.925083,0.000000,7.925083,1.000000
52.502298,27.302421,25.199877,0.479977
20.153603,27.248892,7.095289,0.352061
22.082948,27.318461,5.235513,0.237084
35.429482,0.000000,35.429482,1.000000
12.137889,0.000000,12.137889,1.000000
21.173773,0.000000,21.173773,1.000000
12.965535,27.265409,14.299874,1.102914
17.792676,0.000000,17.792676,1.000000
11.915396,27.210148,15.294752,1.283613
22.281897,0.000000,22.281897,1.000000
7.417052,0.000000,7.417052,1.000000
6.131815,0.000000,6.131815,1.000000
10.422475,0.000000,10.422475,1.000000
4.973717,0.000000,4.973717,1.000000
7.679318,0.000000,7.679318,1.000000
9.237251,0.000000,9.237251,1.000000
2.943873,0.000000,2.943873,1.000000
1.761227,0.000000,1.761227,1.000000
36.704217,0.000000,36.704217,1.000000
61.757674,26.692372,35.065302,0.567789
63.697144,26.718649,36.978494,0.580536
96.655262,26.810375,69.844887,0.722619
101.819196,26.906685,74.912511,0.735741
36.311105,0.000000,36.311105,1.000000
2.967668,27.282428,24.314760,8.193222
32.972707,0.000000,32.972707,1.000000
16.555621,27.242929,10.687308,0.645540
28.690029,0.000000,28.690029,1.000000
23.752981,27.230185,3.477204,0.146390
9.843368,0.000000,9.843368,1.000000
8.860879,0.000000,8.860879,1.000000
15.362811,0.000000,15.362811,1.000000
143.167634,0.000000,143.167634,1.000000
111.293073,27.104193,84.188880,0.756461
14.739161,0.000000,14.739161,1.000000
20.508897,27.609880,7.100984,0.346239
44.641685,27.577460,17.064225,0.382249
28.239311,27.559700,0.679610,0.024066
4.645927,0.000000,4.645927,1.000000
68.788189,0.000000,68.788189,1.000000
69.957720,27.546852,42.410868,0.606236
25.404204,0.000000,25.404204,1.000000
61.610857,0.000000,61.610857,1.000000
25.998291,27.748608,1.750317,0.067324
29.554229,27.832219,1.722010,0.058266
58.365881,27.827702,30.538179,0.523220
7.806436,0.000000,7.806436,1.000000
27.830065,0.000000,27.830065,1.000000
35.451746,0.000000,35.451746,1.000000
26.539179,0.000000,26.539179,1.000000
32.533036,0.000000,32.533036,1.000000
19.199936,0.000000,19.199936,1.000000
12.369473,27.884086,15.514613,1.254266
2.816603,0.000000,2.816603,1.000000
9.010531,0.000000,9.010531,1.000000
25.312110,0.000000,25.312110,1.000000
44.192356,0.000000,44.192356,1.000000
75.200761,27.714919,47.485842,0.631454
30.558154,27.754244,2.803910,0.091757
32.828152,0.000000,32.828152,1.000000
7.252426,0.000000,7.252426,1.000000
9.054500,0.000000,9.054500,1.000000
15.264292,0.000000,15.264292,1.000000
10.715627,0.000000,10.715627,1.000000
14.933376,0.000000,14.933376,1.000000
11.238425,0.000000,11.238425,1.000000
9.560350,0.000000,9.560350,1.000000
9.851432,27.654379,17.802947,1.807143
2.956371,0.000000,2.956371,1.000000
18.124356,0.000000,18.124356,1.000000
35.798804,0.000000,35.798804,1.000000
47.248083,27.492052,19.756031,0.418134
22.997024,0.000000,22.997024,1.000000
11.404319,0.000000,11.404319,1.000000
19.147532,27.546231,8.398699,0.438631
5.265173,0.000000,5.265173,1.000000
42.924809,0.000000,42.924809,1.000000
57.853801,0.000000,57.853801,1.000000
45.255372,27.474607,17.780765,0.392898
5.637692,27.543650,21.905959,3.885626
12.098714,0.000000,12.098714,1.000000
36.752889,27.534161,9.218728,0.250830
10.488314,0.000000,10.488314,1.000000
18.462131,0.000000,18.462131,1.000000
26.076091,0.000000,26.076091,1.000000
16.370422,0.000000,16.370422,1.000000
4.267543,0.000000,4.267543,1.000000
29.078639,0.000000,29.078639,1.000000
34.557023,27.382217,7.174806,0.207622
14.198583,27.385987,13.187404,0.928783
16.592350,0.000000,16.592350,1.000000
27.089416,27.372676,0.283260,0.010456
0.620289,0.000000,0.620289,1.000000
23.283821,0.000000,23.283821,1.000000
30.687998,27.289564,3.398434,0.110741
9.506608,0.000000,9.506608,1.000000
19.657010,0.000000,19.657010,1.000000
17.789332,0.000000,17.789332,1.000000
3.930490,0.000000,3.930490,1.000000
0.453133,0.000000,0.453133,1.000000
6.211861,0.000000,6.211861,1.000000
15.440885,0.000000,15.440885,1.000000
27.869009,0.000000,27.869009,1.000000
58.223837,27.033864,31.189973,0.535691
20.787029,27.035660,6.248631,0.300602
8.959603,0.000000,8.959603,1.000000
44.732835,0.000000,44.732835,1.000000
45.853900,27.050325,18.803575,0.410076
21.546049,0.000000,21.546049,1.000000
5.010267,0.000000,5.010267,1.000000
0.551308,0.000000,0.551308,1.000000
15.746222,0.000000,15.746222,1.000000
8.203888,0.000000,8.203888,1.000000
26.807755,0.000000,26.807755,1.000000
41.232767,0.000000,41.232767,1.000000
0.833824,0.000000,0.833824,1.000000
9.609439,0.000000,9.609439,1.000000
13.467239,0.000000,13.467239,1.000000
7.959755,0.000000,7.959755,1.000000
2.209238,0.000000,2.209238,1.000000
19.410427,0.000000,19.410427,1.000000
4.294200,0.000000,4.294200,1.000000
8.883102,0.000000,8.883102,1.000000
4.892424,0.000000,4.892424,1.000000
55.299169,0.000000,55.299169,1.000000
16.953349,0.000000,16.953349,1.000000
34.006544,0.000000,34.006544,1.000000
52.335058,0.000000,52.335058,1.000000
49.997616,0.000000,49.997616,1.000000
4.873252,26.733451,21.860199,4.485752
11.637273,0.000000,11.637273,1.000000
12.935311,0.000000,12.935311,1.000000
12.608622,26.705678,14.097056,1.118049
11.386762,0.000000,11.386762,1.000000
6.492146,0.000000,6.492146,1.000000
12.406551,0.000000,12.406551,1.000000
17.575178,0.000000,17.575178,1.000000
32.239784,0.000000,32.239784,1.000000
55.002823,26.531671,28.471153,0.517631
34.051369,0.000000,34.051369,1.000000
23.909963,26.599893,2.689930,0.112502
47.277876,26.614737,20.663140,0.437057
6.399634,0.000000,6.399634,1.000000
25.526834,0.000000,25.526834,1.000000
5.580844,0.000000,5.580844,1.000000
23.735356,0.000000,23.735356,1.000000
24.662075,26.566653,1.904578,0.077227
16.345030,26.561079,10.216050,0.625025
5.318605,0.000000,5.318605,1.000000
31.502819,0.000000,31.502819,1.000000
13.386398,26.495800,13.109403,0.979308
5.833601,0.000000,5.833601,1.000000
16.751393,0.000000,16.751393,1.000000
43.351195,26.439838,16.911357,0.390101
35.334087,0.000000,35.334087,1.000000
11.111944,0.000000,11.111944,1.000000
44.881618,0.000000,44.881618,1.000000
64.423206,0.000000,64.423206,1.000000
47.130848,26.476892,20.653956,0.438226
65.236982,0.000000,65.236982,1.000000
4.297036,0.000000,4.297036,1.000000
37.538612,0.000000,37.538612,1.000000
76.427117,26.620641,49.806477,0.651686
45.556893,26.641476,18.915417,0.415204
3.310321,0.000000,3.310321,1.000000
20.993083,0.000000,20.993083,1.000000
28.005774,26.727567,1.278207,0.045641
8.699072,0.000000,8.699072,1.000000
1.244567,0.000000,1.244567,1.000000
82.965840,0.000000,82.965840,1.000000
72.802573,26.637233,46.165340,0.634117
46.488036,26.743113,19.744922,0.424731
58.118841,26.829529,31.289312,0.538368
7.378973,26.866343,19.487369,2.640932
14.103731,0.000000,14.103731,1.000000
20.385482,0.000000,20.385482,1.000000
35.942544,0.000000,35.942544,1.000000
30.159020,26.852442,3.306577,0.109638
35.253606,0.000000,35.253606,1.000000
24.233591,26.875399,2.641809,0.109014
3.764123,0.000000,3.764123,1.000000
14.198231,0.000000,14.198231,1.000000
2.486096,0.000000,2.486096,1.000000
4.469347,0.000000,4.469347,1.000000
1.247134,0.000000,1.247134,1.000000
7.346075,0.000000,7.346075,1.000000
3.611346,0.000000,3.611346,1.000000
27.122376,0.000000,27.122376,1.000000
75.767319,0.000000,75.767319,1.000000
98.035768,26.611723,71.424046,0.728551
5.464481,0.000000,5.464481,1.000000
44.519981,0.000000,44.519981,1.000000
37.639172,0.000000,37.639172,1.000000
46.014291,26.823529,19.190763,0.417061
20.742203,0.000000,20.742203,1.000000
45.506296,26.877497,18.628799,0.409367
46.614340,26.866482,19.747857,0.423643
9.422743,0.000000,9.422743,1.000000
61.559242,0.000000,61.559242,1.000000
76.820804,26.903882,49.916922,0.649784
29.890147,26.965657,2.924491,0.097841
49.595203,27.054367,22.540836,0.454496
